,AST,BLK,DRB,FG,FGA,FGP,FT,FTA,FTP,Game,Home,MP,ORB,PF,PTS,STL,TOV,TP,TPA,TPP,TRB,Team,Win,X,Y,Year
171,13,3,26,32,71,0.451,18,22,0.818,4,0,240,8,23,89,6,15,7,20,0.35,34,Lakers,0,172,,2010
172,12,1,18,31,78,0.397,17,26,0.654,5,0,240,16,22,86,9,13,7,19,0.368,34,Lakers,0,173,,2010
173,17,8,40,33,79,0.418,17,19,0.895,6,1,240,12,17,89,13,13,6,19,0.316,52,Lakers,1,174,,2010
174,11,3,30,27,83,0.325,25,37,0.6759999999999999,7,1,240,23,19,83,7,11,4,20,0.2,53,Lakers,1,175,,2010
175,18,8,30,25,67,0.373,25,32,0.7809999999999999,1,0,240,6,22,84,6,11,9,22,0.409,36,Mavericks,0,176,,2011
176,18,2,30,36,75,0.48,17,21,0.81,2,0,240,11,20,95,8,18,6,17,0.353,41,Mavericks,1,177,,2011
177,18,8,30,28,70,0.4,22,27,0.815,3,1,240,12,14,86,3,14,8,21,0.381,42,Mavericks,0,178,,2011
178,13,2,29,29,73,0.397,24,30,0.8,4,1,240,12,18,86,7,11,4,19,0.21100000000000002,41,Mavericks,1,179,,2011
179,23,3,22,39,69,0.565,21,27,0.778,5,1,240,4,20,112,8,11,13,19,0.684,26,Mavericks,1,180,,2011
180,19,1,30,41,82,0.5,12,18,0.667,6,0,240,10,24,105,11,14,11,26,0.423,40,Mavericks,1,181,,2011
181,20,1,28,36,78,0.462,14,18,0.778,1,0,240,7,19,94,6,10,8,19,0.42100000000000004,35,Heat,0,182,,2012
182,13,4,29,36,76,0.474,22,25,0.88,2,0,240,11,21,100,5,13,6,14,0.429,40,Heat,1,183,,2012
183,13,5,31,28,74,0.37799999999999995,31,35,0.8859999999999999,3,1,240,14,19,91,6,12,4,13,0.308,45,Heat,1,184,,2012
184,19,2,31,38,79,0.48100000000000004,18,25,0.72,4,1,240,9,18,104,8,9,10,26,0.385,40,Heat,1,185,,2012
185,25,7,33,40,77,0.519,27,33,0.818,5,1,240,8,21,121,8,13,14,26,0.5379999999999999,41,Heat,1,186,,2012
186,20,2,37,34,78,0.436,12,17,0.706,1,1,240,9,12,88,4,8,8,25,0.32,46,'Heat',0,'187',,2012
187,22,6,27,41,83,0.494,11,14,0.7859999999999999,2,1,240,9,17,103,9,6,10,19,0.526,36,Heat,1,188,,2013
188,21,8,27,31,76,0.408,7,10,0.7,3,0,240,9,21,77,9,16,8,18,0.444,36,Heat,0,189,,2013
189,23,7,34,45,85,0.529,15,17,0.882,4,0,240,7,26,109,13,9,4,12,0.33299999999999996,41,Heat,1,190,,2013
190,25,3,22,37,86,0.43,19,23,0.826,5,0,240,12,24,104,8,13,11,23,0.478,34,Heat,0,191,,2013
191,23,6,30,38,81,0.469,16,21,0.762,6,1,265,12,26,103,10,15,11,19,0.579,42,Heat,1,192,,2013
192,14,4,32,36,82,0.439,11,16,0.688,7,1,240,11,19,95,8,16,12,32,0.375,43,Heat,1,193,,2013
